city,country,lat,lon,num_films,films
Paris,France,48.8566,2.3522,8,"Love in Paris (2003), Bonjour Mon Amour (2007), Paris Forever (2011), A Parisian Summer (2015), Mon Coeur (2018), The Last Café (2019), Paris Je T'aime Back (2021), Oui (2023)"
Rome,Italy,41.9028,12.4964,6,"Roman Holiday Remake (2004), Ciao Bella (2009), Under the Colosseum (2013), La Dolce Vita ng Puso (2016), Rome Was Built (2020), Amore Ko (2022)"
Barcelona,Spain,41.3851,2.1734,5,"Barcelona Nights (2005), Flamenco Heart (2010), Gaudi in Love (2014), Sol i Amor (2019), The Ramblas (2023)"
London,UK,51.5074,-0.1278,7,"London Calling (2002), Big Ben Beats (2006), Thames Side Story (2009), Rainy Day Love (2013), Notting Hill Again (2017), London Ko Mahal Kita (2020), Fog and Feelings (2023)"
Amsterdam,Netherlands,52.3676,4.9041,4,"Tulip Season (2008), Canal Dreams (2012), Bikes and Butterflies (2018), Dutch Courage (2022)"
Prague,Czechia,50.0755,14.4378,3,"Prague Spring (2007), Cobblestone Hearts (2015), Bohemian Rhapsody of Love (2021)"
Vienna,Austria,48.2082,16.3738,3,"Waltz for Two (2004), Coffee House Crush (2013), Vienna My Love (2020)"
Santorini,Greece,36.3932,25.4615,5,"Blue Dome Romance (2006), Aegean Affair (2010), White Walls (2014), Opa I Love You (2019), Sunset in Oia (2022)"
Lisbon,Portugal,38.7169,-9.1395,2,"Fado For You (2016), Tram 28 to Your Heart (2023)"
Dubrovnik,Croatia,42.6507,18.0944,2,"Walls of the Heart (2018), Adriatic Blue (2022)"
Edinburgh,UK,55.9533,-3.1883,2,"Castle in the Clouds (2011), Highland Fling (2019)"
Budapest,Hungary,47.4979,19.0402,2,"Danube Dreams (2009), Thermal Kiss (2021)"
